lr-AdamW/backbone,lr-AdamW/classifier,step,train_class_loss_step,train_acc1_step,train_acc5_step,epoch,val_loss,val_acc1,val_acc5,train_class_loss_epoch,train_acc1_epoch,train_acc5_epoch
,,4599,4.630026817321777,13.28125,30.46875,3,,,,,,
,,4649,4.36851692199707,19.53125,36.71875,3,,,,,,
,,4699,4.464263916015625,14.84375,37.5,3,,,,,,
,,4749,4.171606063842773,17.1875,40.625,3,,,,,,
,,4799,4.310837268829346,14.0625,37.5,3,,,,,,
,,4849,3.881617307662964,25.78125,46.875,3,,,,,,
,,4899,3.8504223823547363,24.21875,43.75,3,,,,,,
,,4949,4.4397993087768555,14.0625,33.59375,3,,,,,,
,,4999,3.7466049194335938,21.875,50.78125,3,,,,,,
,,5003,,,,3,3.6041300296783447,26.79199981689453,50.185997009277344,,,
,,5003,,,,3,,,,4.382603645324707,17.288043975830078,36.31633758544922
0.00055,0.00015,5004,,,,,,,,,,
,,5049,4.0146484375,17.96875,39.84375,4,,,,,,
,,5099,3.929647445678711,21.875,42.1875,4,,,,,,
,,5149,3.8899314403533936,23.4375,44.53125,4,,,,,,
,,5199,3.9981255531311035,23.4375,42.1875,4,,,,,,
,,5249,3.8354625701904297,17.96875,44.53125,4,,,,,,
,,5299,3.9880781173706055,20.3125,44.53125,4,,,,,,
,,5349,4.062442779541016,24.21875,46.09375,4,,,,,,
,,5399,3.889066696166992,19.53125,40.625,4,,,,,,
,,5449,4.1280999183654785,12.5,39.0625,4,,,,,,
,,5499,3.9476680755615234,21.09375,47.65625,4,,,,,,
,,5549,3.6420040130615234,26.5625,45.3125,4,,,,,,
,,5599,3.894361972808838,21.875,42.96875,4,,,,,,
,,5649,4.260021209716797,16.40625,35.9375,4,,,,,,
,,5699,3.898829460144043,22.65625,49.21875,4,,,,,,
,,5749,3.9189229011535645,23.4375,43.75,4,,,,,,
,,5799,3.747811794281006,25.78125,42.96875,4,,,,,,
,,5849,3.934499502182007,24.21875,45.3125,4,,,,,,
,,5899,3.798232316970825,24.21875,42.1875,4,,,,,,
,,5949,3.2484130859375,34.375,55.46875,4,,,,,,
,,5999,3.7984728813171387,27.34375,48.4375,4,,,,,,
,,6049,3.684241771697998,26.5625,44.53125,4,,,,,,
,,6099,3.500126600265503,28.90625,54.6875,4,,,,,,
,,6149,3.695220470428467,20.3125,50.78125,4,,,,,,
,,6199,3.2677502632141113,40.625,53.90625,4,,,,,,
,,6249,3.520388603210449,25.0,52.34375,4,,,,,,
,,6254,,,,4,3.141341209411621,33.513999938964844,58.49399948120117,,,
,,6254,,,,4,,,,3.8507776260375977,24.124372482299805,45.862449645996094
0.00068,0.00017999999999999998,6255,,,,,,,,,,
,,6299,3.728045701980591,23.4375,44.53125,5,,,,,,
,,6349,3.8184802532196045,21.875,47.65625,5,,,,,,
,,6399,3.708268642425537,25.0,48.4375,5,,,,,,
,,6449,3.6057372093200684,24.21875,51.5625,5,,,,,,
,,6499,3.6740071773529053,24.21875,50.0,5,,,,,,
,,6549,3.8804216384887695,25.0,48.4375,5,,,,,,
,,6599,3.405546188354492,31.25,55.46875,5,,,,,,
,,6649,3.4534220695495605,28.125,53.125,5,,,,,,
,,6699,3.357295274734497,28.125,57.03125,5,,,,,,
,,6749,3.062608242034912,35.15625,60.15625,5,,,,,,
,,6799,3.647899866104126,25.78125,50.0,5,,,,,,
,,6849,3.2060904502868652,28.125,59.375,5,,,,,,
,,6899,3.4843039512634277,29.6875,56.25,5,,,,,,
,,6949,3.466648578643799,28.90625,50.0,5,,,,,,
,,6999,3.3057327270507812,28.90625,57.03125,5,,,,,,
,,7049,3.6134839057922363,30.46875,52.34375,5,,,,,,
,,7099,3.5133743286132812,31.25,49.21875,5,,,,,,
,,7149,3.367224931716919,39.0625,59.375,5,,,,,,
,,7199,3.504061222076416,31.25,55.46875,5,,,,,,
,,7249,3.658480167388916,29.6875,53.125,5,,,,,,
,,7299,3.4113993644714355,34.375,53.90625,5,,,,,,
,,7349,3.6066391468048096,25.0,46.875,5,,,,,,
,,7399,3.3305864334106445,31.25,57.03125,5,,,,,,
,,7449,3.2892658710479736,28.90625,53.90625,5,,,,,,
,,7499,3.57828688621521,28.125,52.34375,5,,,,,,
,,7505,,,,5,2.8444712162017822,38.2239990234375,63.67399597167969,,,
,,7505,,,,5,,,,3.483057737350464,29.390939712524414,52.412132263183594
0.0008100000000000001,0.00020999999999999998,7506,,,,,,,,,,
,,7549,3.039212465286255,40.625,61.71875,6,,,,,,
,,7599,3.245593786239624,35.9375,52.34375,6,,,,,,
,,7649,3.0339343547821045,38.28125,60.15625,6,,,,,,
,,7699,3.258558511734009,29.6875,55.46875,6,,,,,,
,,7749,3.313286066055298,33.59375,53.125,6,,,,,,
,,7799,3.3029768466949463,33.59375,55.46875,6,,,,,,
,,7849,3.48953914642334,30.46875,50.0,6,,,,,,
,,7899,3.0424904823303223,30.46875,60.9375,6,,,,,,
,,7949,3.0448153018951416,41.40625,61.71875,6,,,,,,
,,7999,3.316338300704956,32.03125,55.46875,6,,,,,,
,,8049,2.9006104469299316,36.71875,64.84375,6,,,,,,
,,8099,3.2869653701782227,25.78125,58.59375,6,,,,,,
,,8149,3.228043556213379,33.59375,57.03125,6,,,,,,
,,8199,3.16693115234375,35.15625,59.375,6,,,,,,
,,8249,2.9161596298217773,42.1875,64.0625,6,,,,,,
,,8299,3.2906298637390137,32.03125,58.59375,6,,,,,,
,,8349,3.1452059745788574,31.25,59.375,6,,,,,,
,,8399,3.1520044803619385,38.28125,57.8125,6,,,,,,
,,8449,3.022495746612549,42.1875,60.15625,6,,,,,,
